GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.fulfilment.application.monolith.products.model,Warehousehome,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.service,WarehouseSearchService,22,189,9,35,4,33,10,26,2,11
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,WarehouseUtilizationStats,1,40,6,10,0,6,6,5,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,WarehouseMetrics,0,34,0,10,0,5,0,8,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,WarehouseCapacityReport,0,37,3,9,0,5,3,6,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,WarehouseHealth,0,37,2,10,0,5,2,7,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,WarehouseAuditInfo,0,22,1,3,0,4,1,4,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,WarehouseRiskProfile,1,28,2,6,0,5,2,5,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.util,WarehouseUtils,35,214,20,48,6,47,22,25,3,9
java-code-assignment,com.fulfilment.application.monolith.warehouses.extra.bin,WarehouseCore,0,21,2,6,0,4,2,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.extra.bin,WarehouseMetricsExtended,4,34,3,5,0,6,3,4,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.extra.bin,WarehouseInventory,0,36,3,7,0,5,3,5,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.extra.bin,WarehouseLocationInfo,0,18,1,5,0,3,1,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.extra.bin,WarehouseOperationalState,0,17,0,4,0,3,0,4,0,2
